"% V-rep data recorded 02/27/17 04:20:14 "
"% FREQ =  18.850 "
"% PHASE =   2.618 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     2099,      -21,    27307,        0, -346.250,  -2.007, 0,0,0, 0,0,0,  20.116,  -0.208, 912, 0.1, 0.1, 0.02951, 0.002411, -0.0002508, 0.0008233,   2.618,   2.618,   0.000,   0.000,   0.201,   0.197,  -0.002,   0.002,  20.116,  19.732,  -0.208,   0.175, 0.002714, -0.00306, -0.004393, 0.004391, 0.0007398, -0.001136, 0.0003931, -5.657e-005, 0.001637, 0.0002419, 0.0004556, -0.003019, -0.001285, 0.00655, 0.004489, 0.0009629, -0.001763, -0.0002374, -0.002579, 0.003955, -0.003158, 0.001218
   10000,     4182,      740,    29273,     1967,  25.140, -101.687,      0,      0,      0,     0,      1,  -4100,  19.971,   7.297, 912, 0.1001, 0.09999, 0.02805, 0.0001826, -0.0004886, 0.001321,   2.806,   2.806,   0.188,   0.188,   0.401,   0.397,   0.071,   0.076,  19.971,  19.939,   7.297,   7.461, 4.154e-005, -1.64e-005, -0.002976, 0.002874, -4.17e-005, 0.001289, -0.000661, -0.0007491, -0.0002584, -0.0002093, 0.002463, 0.002405, 0.002343, -0.001451, -0.004461, -0.0008495, -0.0007991, -0.0004927, -0.00103, 0.001134, 0.004046, 0.0004136
   20000,     6281,     1984,    31239,     3933,  -3.648, -68.286,   -209,    -22,     47,  -195,     27,  -2038,  20.125,  11.926, 912, 0.1002, 0.09997, 0.02563, -0.003966, -0.0003637, 0.001603,   2.995,   2.995,   0.377,   0.377,   0.602,   0.596,   0.190,   0.196,  20.125,  19.918,  11.926,  11.918, 0.0003447, -0.0003484, -0.002398, 0.00233, 0.000619, 0.0007616, 0.0004588, -0.0008346, -0.000625, -0.0005486, 0.0003378, 0.001648, 0.0005252, -0.002469, -0.004179, -0.001835, 0.001014, 0.000827, -3.96e-005, -0.001025, -0.002727, -0.001162
   30000,     8346,     3506,   -32331,     5899,  64.752,  -3.685,   -389,     13,     27,   -38,    -31,    -63,  19.803,  14.598, 912, 0.1002, 0.09996, 0.02223, -0.006722, -0.0002294, 0.00174,  -3.100,  -3.100,   0.565,   0.565,   0.800,   0.795,   0.336,   0.342,  19.803,  19.938,  14.598,  14.668, 0.0006017, -0.0005369, -0.002435, 0.002431, 0.001045, -0.0002032, 0.0006653, 8.64e-005, -0.0004489, -6.7e-005, -0.000781, -6.734e-005, -0.001344, -0.0004836, 0.002462, -0.001604, 0.001253, 0.0001339, 0.0008576, -0.001671, -0.002247, -0.001729
   40000,    10433,     5184,   -30365,     7865, -439.207, -876.051,   -258,     14,     13,   -29,      6,    -80,  20.007,  16.081, 912, 0.1002, 0.09996, 0.01794, -0.001957, 0.001058, 0.002239,  -2.911,  -2.911,   0.754,   0.754,   1.000,   0.996,   0.497,   0.505,  20.007,  20.042,  16.081,  16.311, 0.001039, -0.001478, -0.002887, 0.002011, 0.001167, -0.0007873, -0.001182, -0.1006, -0.01297, 0.1362, 0.0002239, -0.00079, -0.001418, 0.0007503, -0.001366, 0.0005383, -0.0496, -0.0109, 0.06276, -0.0003464, -0.0003549, -0.0003408
   50001,    12540,     6971,   -28398,     9831, -981.878, -4585.323,    448,    121,     47,   -10,      7,    -29,  20.195,  17.132, 912, 0.09903, 0.09965, 0.01465, -0.02789, -0.009102, 0.008511,  -2.723,  -2.723,   0.942,   0.942,   1.202,   1.193,   0.668,   0.676,  20.195,  19.720,  17.132,  17.066, 0.001196, -0.002178, -0.004789, 0.0002034, 0.003682, 0.001594, 0.00194, -0.5011, -0.07576, 0.7126, -0.1471, 0.02546, 0.1562, 0.001076, 0.003774, -0.0006697, -0.1116, -0.1187, 0.2745, -0.4838, 0.05554, 0.505
   60000,    14657,     8766,   -26432,    11797, -618.218, -3403.482,  -2436,   -948,    587,   311,     65,   -343,  20.302,  17.208, 912, 0.09637, 0.09969, 0.01439, -0.0311, -0.03249, 0.02068,  -2.534,  -2.534,   1.131,   1.131,   1.405,   1.392,   0.840,   0.852,  20.302,  19.925,  17.208,  17.627, 0.0003132, -0.0009314, -0.002928, -0.0004752, -0.0581, 0.2101, 0.1368, 0.00507, -0.02103, 0.1736, -0.07071, 0.09066, 0.1162, -0.334, 0.08399, 0.3517, 0.05307, -0.01064, 0.1187, -0.0376, 0.008447, 0.09685
   70001,    16731,    10654,   -24466,    13763, -1029.945, -1709.756,   -319,  -2193,   1145,  5113,    638,  -8482,  19.887,  18.103, 912, 0.09433, 0.1002, 0.01531, -0.02507, -0.03924, 0.01955,  -2.346,  -2.346,   1.319,   1.319,   1.604,   1.591,   1.021,   1.033,  19.887,  19.902,  18.103,  18.063, -0.0002795, -0.0007504, -0.002037, 0.0003275, 0.05443, 0.06873, 0.1081, 0.1895, -0.1142, 0.04105, 0.02025, 0.06288, 0.07061, 0.01996, -0.09876, 0.1083, 0.09684, -0.01572, 0.03609, -0.02569, -0.004078, 0.08752
   80000,    18802,    12564,   -22500,    15729, -925.030, -1023.466,    553,   -645,   -124,  6212,   -677, -17094,  19.854,  18.312, 912, 0.09318, 0.1005, 0.01626, -0.02659, -0.04479, 0.01634,  -2.157,  -2.157,   1.508,   1.508,   1.803,   1.791,   1.204,   1.216,  19.854,  20.026,  18.312,  18.280, -0.001519, 0.0005938, -0.002635, 0.001611, 0.05017, 0.09773, 0.1129, 0.1459, -0.1182, 0.03427, -0.001633, 0.007628, 0.005519, 0.02811, -0.1357, 0.1494, 0.05105, 0.03024, 0.02703, -0.005474, 0.0009729, -0.006708
   90001,    20887,    14494,   -20534,    17695, -239.528, -971.410,   -152,   -517,   -296, -3233,  -1185,  -8653,  19.986,  18.504, 912, 0.09269, 0.1005, 0.01697, -0.02946, -0.0403, 0.01119,  -1.969,  -1.969,   1.696,   1.696,   2.002,   1.994,   1.390,   1.400,  19.986,  20.242,  18.504,  18.473, -0.002784, 0.002545, -0.002506, 0.001535, 0.03877, 0.08576, 0.1085, 0.1058, -0.06674, 0.03225, -0.002264, 0.001756, 0.00544, 0.04087, -0.1094, 0.1354, 0.01173, 0.007211, 0.006824, 0.0008748, 0.0001081, 0.001016
